file,node_id,cardinal,seq,street,direction,a_sidewalk_shed,a_sidewalk_shed__crop,scaffolding,scaffolding__crop,construction_scaffolding_on_a_building_facade,construction_scaffolding_on_a_building_facade__crop,a_green_wooden_shed_over_the_sidewalk,a_green_wooden_shed_over_the_sidewalk__crop,metal_scaffold_poles,metal_scaffold_poles__crop,a_construction_fence,a_construction_fence__crop,a_plywood_construction_barrier,a_plywood_construction_barrier__crop,a_street_tree,a_street_tree__crop
1st_avenue/north_to_south/01_n00043_S.jpg,n00043,S,1,1st_avenue,north_to_south,0.19358,1,0.30304,1,0.30474,1,0.08454,2,0.18829,0,0.41619,2,0.20927,2,0.4618,1
1st_avenue/north_to_south/02_n00042_S.jpg,n00042,S,2,1st_avenue,north_to_south,0.17691,0,0.44432,1,0.37554,1,0.10536,0,0.22348,3,0.31385,2,0.16878,0,0.32111,3
1st_avenue/north_to_south/03_n00041_S.jpg,n00041,S,3,1st_avenue,north_to_south,0.13916,3,0.31693,1,0.30761,1,0.0916,1,0.20729,1,0.31984,0,0.14068,3,0.37207,2
1st_avenue/north_to_south/04_n00040_S.jpg,n00040,S,4,1st_avenue,north_to_south,0.15846,0,0.40667,1,0.35444,1,0.1217,3,0.18306,1,0.30896,2,0.17028,3,0.40165,0
1st_avenue/north_to_south/05_n00039_S.jpg,n00039,S,5,1st_avenue,north_to_south,0.1825,3,0.26754,1,0.32156,1,0.11139,1,0.22482,1,0.33713,0,0.17917,3,0.38271,3
1st_avenue/north_to_south/06_n00038_S.jpg,n00038,S,6,1st_avenue,north_to_south,0.14371,1,0.31697,1,0.33126,1,0.11966,1,0.18031,1,0.31008,3,0.14131,1,0.3725,3
1st_avenue/north_to_south/07_n00037_S.jpg,n00037,S,7,1st_avenue,north_to_south,0.11781,2,0.26426,3,0.32954,1,0.09863,1,0.21129,1,0.33805,3,0.16247,3,0.42711,0
1st_avenue/north_to_south/08_n00036_S.jpg,n00036,S,8,1st_avenue,north_to_south,0.15485,0,0.40672,2,0.35398,3,0.10078,3,0.20441,2,0.33417,3,0.21374,3,0.38368,3
1st_avenue/north_to_south/09_n00035_S.jpg,n00035,S,9,1st_avenue,north_to_south,0.09894,0,0.2283,1,0.28003,1,0.09491,1,0.21977,0,0.44975,3,0.1259,0,0.20554,1
1st_avenue/north_to_south/10_n00034_S.jpg,n00034,S,10,1st_avenue,north_to_south,0.12772,1,0.68559,1,0.50985,1,0.16657,1,0.25869,1,0.37402,0,0.19955,0,0.41376,0
1st_avenue/north_to_south/11_n00033_S.jpg,n00033,S,11,1st_avenue,north_to_south,0.13192,3,0.43365,3,0.35718,1,0.11042,1,0.18211,3,0.42755,3,0.12491,3,0.22265,3
1st_avenue/north_to_south/12_n00032_S.jpg,n00032,S,12,1st_avenue,north_to_south,0.13043,1,0.28815,3,0.33448,3,0.11243,2,0.16902,0,0.2798,0,0.12162,3,0.22454,3
1st_avenue/north_to_south/13_n00031_S.jpg,n00031,S,13,1st_avenue,north_to_south,0.13456,3,0.36258,3,0.39292,3,0.08529,3,0.20132,3,0.29902,0,0.12723,3,0.21291,3
1st_avenue/north_to_south/14_n00030_S.jpg,n00030,S,14,1st_avenue,north_to_south,0.09344,3,0.43148,1,0.42528,1,0.07412,2,0.15342,1,0.30506,0,0.22254,3,0.20076,2
1st_avenue/north_to_south/15_n00029_S.jpg,n00029,S,15,1st_avenue,north_to_south,0.12673,1,0.3271,1,0.37054,1,0.08575,3,0.19741,2,0.32168,3,0.12637,3,0.18527,2
1st_avenue/north_to_south/16_n00028_S.jpg,n00028,S,16,1st_avenue,north_to_south,0.12673,1,0.3271,1,0.37054,1,0.08575,3,0.19741,2,0.32168,3,0.12637,3,0.18527,2
1st_avenue/north_to_south/17_n00027_S.jpg,n00027,S,17,1st_avenue,north_to_south,0.10411,3,0.54553,1,0.46637,1,0.09982,2,0.18906,1,0.36934,3,0.11489,0,0.28993,3
1st_avenue/north_to_south/18_n00026_S.jpg,n00026,S,18,1st_avenue,north_to_south,0.10411,3,0.54553,1,0.46637,1,0.09982,2,0.18906,1,0.36934,3,0.11489,0,0.28993,3
1st_avenue/north_to_south/19_n00025_S.jpg,n00025,S,19,1st_avenue,north_to_south,0.13612,3,0.4987,1,0.44692,1,0.11514,2,0.25854,3,0.36448,3,0.12286,3,0.22211,3
1st_avenue/north_to_south/20_n00023_S.jpg,n00023,S,20,1st_avenue,north_to_south,0.16985,2,0.59194,1,0.49514,1,0.12205,2,0.24062,1,0.24686,0,0.17035,2,0.34116,3
1st_avenue/north_to_south/21_n00022_S.jpg,n00022,S,21,1st_avenue,north_to_south,0.16985,2,0.59194,1,0.49514,1,0.12205,2,0.24062,1,0.24686,0,0.17035,2,0.34116,3
1st_avenue/north_to_south/22_n00021_S.jpg,n00021,S,22,1st_avenue,north_to_south,0.15258,3,0.69854,1,0.48431,1,0.09308,3,0.29126,1,0.40207,0,0.31153,2,0.15426,1
1st_avenue/north_to_south/23_n00020_S.jpg,n00020,S,23,1st_avenue,north_to_south,0.25765,2,0.66349,3,0.44058,1,0.19058,2,0.3825,2,0.40853,0,0.24842,3,0.18611,1
1st_avenue/north_to_south/24_n00019_S.jpg,n00019,S,24,1st_avenue,north_to_south,0.11305,1,0.41807,3,0.24967,3,0.11276,1,0.28736,3,0.29811,1,0.23644,2,0.25524,1
1st_avenue/north_to_south/25_n00018_S.jpg,n00018,S,25,1st_avenue,north_to_south,0.13601,3,0.33641,2,0.32426,2,0.08881,3,0.27192,2,0.35198,0,0.32902,2,0.31082,3
1st_avenue/north_to_south/26_n00017_S.jpg,n00017,S,26,1st_avenue,north_to_south,0.1524,0,0.30859,0,0.24662,0,0.09528,3,0.19105,0,0.23482,1,0.14105,1,0.32439,1
1st_avenue/north_to_south/27_n00016_S.jpg,n00016,S,27,1st_avenue,north_to_south,0.11338,1,0.33908,0,0.25694,2,0.09865,2,0.23934,3,0.33655,3,0.23617,2,0.32483,3
1st_avenue/north_to_south/28_n00015_S.jpg,n00015,S,28,1st_avenue,north_to_south,0.1861,3,0.24783,0,0.30137,3,0.12,3,0.22883,0,0.35782,2,0.22241,0,0.41326,3
1st_avenue/north_to_south/29_n00014_S.jpg,n00014,S,29,1st_avenue,north_to_south,0.16494,3,0.25994,2,0.34634,3,0.07742,1,0.15639,1,0.21911,3,0.2646,2,0.4272,0
1st_avenue/north_to_south/30_n00013_S.jpg,n00013,S,30,1st_avenue,north_to_south,0.17612,0,0.22434,2,0.30394,3,0.11374,1,0.16628,3,0.29336,1,0.10034,1,0.37219,2
1st_avenue/north_to_south/31_n00012_S.jpg,n00012,S,31,1st_avenue,north_to_south,0.22917,1,0.20905,1,0.23203,3,0.18656,1,0.15016,3,0.59176,2,0.20652,0,0.37994,3
1st_avenue/north_to_south/32_n00011_S.jpg,n00011,S,32,1st_avenue,north_to_south,0.20008,1,0.22208,3,0.25457,3,0.11274,3,0.18708,3,0.47323,2,0.24092,3,0.3482,3
1st_avenue/north_to_south/33_n00010_S.jpg,n00010,S,33,1st_avenue,north_to_south,0.2011,3,0.21707,1,0.26988,3,0.15884,3,0.15551,3,0.3097,3,0.14157,1,0.32275,2
1st_avenue/north_to_south/34_n00009_S.jpg,n00009,S,34,1st_avenue,north_to_south,0.17626,2,0.34869,0,0.22802,3,0.20154,2,0.18911,0,0.41599,2,0.25942,3,0.29781,3
1st_avenue/north_to_south/35_n00008_S.jpg,n00008,S,35,1st_avenue,north_to_south,0.15304,2,0.21175,2,0.20333,3,0.19984,2,0.23584,2,0.31738,2,0.25977,1,0.2354,3
1st_avenue/north_to_south/36_n00007_S.jpg,n00007,S,36,1st_avenue,north_to_south,0.19582,2,0.29165,3,0.36599,3,0.19517,2,0.15812,3,0.37253,2,0.28671,2,0.33275,2
1st_avenue/north_to_south/37_n00006_S.jpg,n00006,S,37,1st_avenue,north_to_south,0.20944,2,0.30478,0,0.25513,0,0.15648,2,0.17584,3,0.34604,2,0.21394,3,0.40323,3
1st_avenue/north_to_south/38_n00005_S.jpg,n00005,S,38,1st_avenue,north_to_south,0.26581,2,0.19675,1,0.22367,1,0.16452,2,0.20507,3,0.16399,1,0.18653,0,0.36084,1
1st_avenue/north_to_south/39_n00004_S.jpg,n00004,S,39,1st_avenue,north_to_south,0.2769,2,0.23363,1,0.20468,0,0.18393,2,0.1759,2,0.41224,2,0.24315,2,0.41045,1
1st_avenue/north_to_south/40_n00003_S.jpg,n00003,S,40,1st_avenue,north_to_south,0.2144,2,0.28199,1,0.25416,1,0.15832,2,0.12877,1,0.27064,2,0.25861,2,0.45422,2
1st_avenue/north_to_south/41_n00002_S.jpg,n00002,S,41,1st_avenue,north_to_south,0.16731,3,0.33784,1,0.25698,0,0.13818,0,0.19295,3,0.19648,0,0.14138,3,0.52111,3
1st_avenue/north_to_south/42_n00001_S.jpg,n00001,S,42,1st_avenue,north_to_south,0.30379,2,0.3631,2,0.20731,3,0.15797,2,0.16334,2,0.0983,3,0.10715,3,0.41253,2
1st_avenue/south_to_north/01_n00001_N.jpg,n00001,N,1,1st_avenue,south_to_north,0.2629,3,0.26717,2,0.31316,2,0.12701,0,0.20742,0,0.18615,3,0.10347,3,0.4557,2
1st_avenue/south_to_north/02_n00002_N.jpg,n00002,N,2,1st_avenue,south_to_north,0.21549,1,0.21652,1,0.24913,1,0.1218,1,0.11598,2,0.12216,0,0.09525,0,0.41878,3
1st_avenue/south_to_north/03_n00003_N.jpg,n00003,N,3,1st_avenue,south_to_north,0.24088,0,0.16384,1,0.24431,2,0.15625,2,0.11936,1,0.16218,1,0.25083,1,0.34805,3
1st_avenue/south_to_north/04_n00004_N.jpg,n00004,N,4,1st_avenue,south_to_north,0.20827,0,0.5226,3,0.38641,3,0.14332,1,0.19747,2,0.37243,0,0.29453,0,0.40272,0
1st_avenue/south_to_north/05_n00005_N.jpg,n00005,N,5,1st_avenue,south_to_north,0.21096,1,0.52472,2,0.31269,3,0.14611,3,0.20106,2,0.34829,0,0.26764,0,0.35633,0
1st_avenue/south_to_north/06_n00006_N.jpg,n00006,N,6,1st_avenue,south_to_north,0.18117,3,0.42366,2,0.27821,3,0.11565,0,0.28836,0,0.43955,0,0.25327,0,0.37126,1
1st_avenue/south_to_north/07_n00007_N.jpg,n00007,N,7,1st_avenue,south_to_north,0.16139,1,0.23197,2,0.32083,2,0.10819,1,0.14982,0,0.29812,0,0.17042,0,0.30562,1
1st_avenue/south_to_north/08_n00008_N.jpg,n00008,N,8,1st_avenue,south_to_north,0.20048,0,0.14305,3,0.26998,3,0.11221,3,0.15261,0,0.37983,0,0.26995,0,0.37148,0
1st_avenue/south_to_north/09_n00009_N.jpg,n00009,N,9,1st_avenue,south_to_north,0.1521,3,0.17857,2,0.26097,2,0.13164,3,0.16058,3,0.39898,0,0.09817,3,0.38782,1
1st_avenue/south_to_north/10_n00010_N.jpg,n00010,N,10,1st_avenue,south_to_north,0.14287,2,0.32039,1,0.20189,1,0.09514,2,0.1371,1,0.24959,2,0.19634,0,0.48711,2
1st_avenue/south_to_north/11_n00011_N.jpg,n00011,N,11,1st_avenue,south_to_north,0.1352,0,0.27774,1,0.20252,0,0.08983,2,0.10047,1,0.35123,3,0.17449,0,0.43916,3
1st_avenue/south_to_north/12_n00012_N.jpg,n00012,N,12,1st_avenue,south_to_north,0.1781,0,0.37763,1,0.33821,1,0.14637,0,0.18065,3,0.34587,2,0.13454,2,0.39352,2
1st_avenue/south_to_north/13_n00013_N.jpg,n00013,N,13,1st_avenue,south_to_north,0.2045,2,0.40765,1,0.4072,1,0.13312,2,0.17127,1,0.24399,1,0.17349,0,0.4198,2
1st_avenue/south_to_north/14_n00014_N.jpg,n00014,N,14,1st_avenue,south_to_north,0.1484,2,0.61233,1,0.40601,1,0.12832,1,0.22717,2,0.30744,3,0.17728,2,0.38687,2
1st_avenue/south_to_north/15_n00015_N.jpg,n00015,N,15,1st_avenue,south_to_north,0.21637,1,0.51827,1,0.42182,1,0.14512,1,0.306,2,0.40319,2,0.21923,1,0.37248,0
1st_avenue/south_to_north/16_n00016_N.jpg,n00016,N,16,1st_avenue,south_to_north,0.15922,2,0.59596,1,0.50522,1,0.11412,2,0.23118,3,0.26694,3,0.25504,3,0.34239,3
1st_avenue/south_to_north/17_n00017_N.jpg,n00017,N,17,1st_avenue,south_to_north,0.14249,1,0.35855,3,0.33232,1,0.08702,3,0.29474,2,0.44107,3,0.30052,0,0.22004,1
1st_avenue/south_to_north/18_n00018_N.jpg,n00018,N,18,1st_avenue,south_to_north,0.10264,3,0.27013,0,0.32248,0,0.07346,3,0.2281,3,0.44854,3,0.30758,0,0.17196,1
1st_avenue/south_to_north/19_n00019_N.jpg,n00019,N,19,1st_avenue,south_to_north,0.21756,1,0.19256,1,0.30365,1,0.13005,1,0.20221,3,0.42068,3,0.2986,0,0.20534,1
1st_avenue/south_to_north/20_n00020_N.jpg,n00020,N,20,1st_avenue,south_to_north,0.14873,3,0.2938,0,0.34341,0,0.10723,3,0.23537,0,0.3982,3,0.24352,3,0.29746,3
1st_avenue/south_to_north/21_n00021_N.jpg,n00021,N,21,1st_avenue,south_to_north,0.1317,3,0.28479,0,0.27146,1,0.07091,3,0.15822,3,0.3289,3,0.11179,0,0.35566,3
1st_avenue/south_to_north/22_n00022_N.jpg,n00022,N,22,1st_avenue,south_to_north,0.10918,0,0.1536,1,0.24233,1,0.08266,0,0.15936,2,0.37111,2,0.13566,3,0.21513,3
1st_avenue/south_to_north/23_n00023_N.jpg,n00023,N,23,1st_avenue,south_to_north,0.10918,0,0.1536,1,0.24233,1,0.08266,0,0.15936,2,0.37111,2,0.13566,3,0.21513,3
1st_avenue/south_to_north/24_n00025_N.jpg,n00025,N,24,1st_avenue,south_to_north,0.15919,0,0.32618,1,0.19375,1,0.09967,0,0.17102,2,0.37784,3,0.12329,3,0.19722,2
1st_avenue/south_to_north/25_n00026_N.jpg,n00026,N,25,1st_avenue,south_to_north,0.15148,0,0.30425,2,0.22385,1,0.09056,1,0.17922,3,0.3163,3,0.1453,3,0.22886,3
1st_avenue/south_to_north/26_n00027_N.jpg,n00027,N,26,1st_avenue,south_to_north,0.15148,0,0.30425,2,0.22385,1,0.09056,1,0.17922,3,0.3163,3,0.1453,3,0.22886,3
1st_avenue/south_to_north/27_n00028_N.jpg,n00028,N,27,1st_avenue,south_to_north,0.11441,1,0.16402,1,0.23489,1,0.10853,1,0.15727,3,0.3484,2,0.15611,0,0.20772,3
1st_avenue/south_to_north/28_n00029_N.jpg,n00029,N,28,1st_avenue,south_to_north,0.11441,1,0.16402,1,0.23489,1,0.10853,1,0.15727,3,0.3484,2,0.15611,0,0.20772,3
1st_avenue/south_to_north/29_n00030_N.jpg,n00030,N,29,1st_avenue,south_to_north,0.15268,1,0.13032,2,0.21614,1,0.16343,1,0.17513,3,0.39158,2,0.13968,3,0.22533,2
1st_avenue/south_to_north/30_n00031_N.jpg,n00031,N,30,1st_avenue,south_to_north,0.16364,1,0.16649,1,0.23374,1,0.11611,1,0.1595,2,0.38717,3,0.15033,3,0.28913,1
1st_avenue/south_to_north/31_n00032_N.jpg,n00032,N,31,1st_avenue,south_to_north,0.12197,3,0.24417,1,0.24072,1,0.12809,0,0.16133,2,0.43757,2,0.11465,1,0.33074,2
1st_avenue/south_to_north/32_n00033_N.jpg,n00033,N,32,1st_avenue,south_to_north,0.11876,2,0.23749,3,0.24781,3,0.09805,2,0.19161,3,0.39467,2,0.14917,1,0.38895,2
1st_avenue/south_to_north/33_n00034_N.jpg,n00034,N,33,1st_avenue,south_to_north,0.15782,0,0.27718,3,0.2438,1,0.17571,0,0.27223,0,0.34737,0,0.19078,3,0.31797,0
1st_avenue/south_to_north/34_n00035_N.jpg,n00035,N,34,1st_avenue,south_to_north,0.19607,2,0.19414,1,0.2472,1,0.13882,1,0.15864,1,0.31847,3,0.11614,1,0.37606,2
1st_avenue/south_to_north/35_n00036_N.jpg,n00036,N,35,1st_avenue,south_to_north,0.12673,1,0.14985,1,0.2637,2,0.09066,3,0.15525,2,0.41544,0,0.18063,3,0.34421,3
1st_avenue/south_to_north/36_n00037_N.jpg,n00037,N,36,1st_avenue,south_to_north,0.17334,1,0.31361,0,0.2819,0,0.08824,1,0.21075,3,0.37374,2,0.13749,3,0.2959,3
1st_avenue/south_to_north/37_n00038_N.jpg,n00038,N,37,1st_avenue,south_to_north,0.17793,1,0.32979,1,0.2684,2,0.13046,1,0.20158,2,0.28328,0,0.20841,2,0.30536,3
1st_avenue/south_to_north/38_n00039_N.jpg,n00039,N,38,1st_avenue,south_to_north,0.14941,0,0.33459,0,0.2835,1,0.09302,0,0.28024,2,0.31203,2,0.12848,3,0.30131,3
1st_avenue/south_to_north/39_n00040_N.jpg,n00040,N,39,1st_avenue,south_to_north,0.12646,3,0.38003,1,0.26806,3,0.17525,0,0.21307,1,0.27234,0,0.19832,0,0.27739,3
1st_avenue/south_to_north/40_n00041_N.jpg,n00041,N,40,1st_avenue,south_to_north,0.23388,1,0.43426,0,0.32871,0,0.11896,1,0.22026,3,0.27864,2,0.16515,1,0.32834,3
1st_avenue/south_to_north/41_n00042_N.jpg,n00042,N,41,1st_avenue,south_to_north,0.17981,3,0.23401,1,0.26096,1,0.10888,3,0.20905,2,0.2529,2,0.20389,2,0.39332,1
1st_avenue/south_to_north/42_n00043_N.jpg,n00043,N,42,1st_avenue,south_to_north,0.12074,1,0.25181,0,0.24824,0,0.0882,0,0.20063,2,0.19452,3,0.15263,3,0.43249,1
2nd_avenue/north_to_south/01_n00078_S.jpg,n00078,S,1,2nd_avenue,north_to_south,0.15538,3,0.16439,3,0.20522,3,0.13727,1,0.17423,1,0.32302,0,0.09564,3,0.35123,1
2nd_avenue/north_to_south/02_n00077_S.jpg,n00077,S,2,2nd_avenue,north_to_south,0.16275,3,0.25512,2,0.19247,3,0.13881,3,0.19426,2,0.11283,1,0.0827,1,0.50987,2
2nd_avenue/north_to_south/03_n00076_S.jpg,n00076,S,3,2nd_avenue,north_to_south,0.13489,3,0.25439,1,0.23405,1,0.1037,3,0.18822,3,0.17077,1,0.19957,3,0.27393,3
2nd_avenue/north_to_south/04_n00075_S.jpg,n00075,S,4,2nd_avenue,north_to_south,0.18937,2,0.25618,2,0.2492,0,0.16005,2,0.27465,2,0.23,3,0.19968,1,0.43421,0
2nd_avenue/north_to_south/05_n00074_S.jpg,n00074,S,5,2nd_avenue,north_to_south,0.35283,1,0.44003,2,0.28717,1,0.20649,1,0.24344,2,0.19326,3,0.10524,3,0.35064,3
2nd_avenue/north_to_south/06_n00073_S.jpg,n00073,S,6,2nd_avenue,north_to_south,0.23896,3,0.37704,3,0.38494,3,0.131,1,0.17741,3,0.23333,3,0.14748,3,0.34442,3
2nd_avenue/north_to_south/07_n00072_S.jpg,n00072,S,7,2nd_avenue,north_to_south,0.19516,3,0.27095,3,0.28456,3,0.12388,3,0.16512,3,0.15594,3,0.24175,3,0.39062,3
2nd_avenue/north_to_south/08_n00071_S.jpg,n00071,S,8,2nd_avenue,north_to_south,0.15587,3,0.3027,3,0.30833,1,0.08341,3,0.15922,3,0.15126,3,0.12833,3,0.42743,2
2nd_avenue/north_to_south/09_n00070_S.jpg,n00070,S,9,2nd_avenue,north_to_south,0.19525,0,0.2438,3,0.3223,0,0.12401,3,0.20134,3,0.20161,3,0.28925,0,0.44606,2
2nd_avenue/north_to_south/10_n00069_S.jpg,n00069,S,10,2nd_avenue,north_to_south,0.13851,1,0.18863,1,0.30406,0,0.13118,1,0.17813,1,0.27197,1,0.36101,3,0.41964,2
2nd_avenue/north_to_south/11_n00068_S.jpg,n00068,S,11,2nd_avenue,north_to_south,0.14006,3,0.27726,3,0.28931,1,0.12291,3,0.16733,1,0.28578,3,0.36803,2,0.2139,1
2nd_avenue/north_to_south/12_n00067_S.jpg,n00067,S,12,2nd_avenue,north_to_south,0.19262,3,0.57882,1,0.4506,1,0.1408,3,0.20703,0,0.21338,2,0.33147,2,0.29659,2
2nd_avenue/north_to_south/13_n00066_S.jpg,n00066,S,13,2nd_avenue,north_to_south,0.17006,2,0.39757,0,0.25699,3,0.09361,2,0.2083,0,0.18143,3,0.15986,3,0.34259,3
2nd_avenue/north_to_south/14_n00065_S.jpg,n00065,S,14,2nd_avenue,north_to_south,0.2019,1,0.58864,0,0.19684,0,0.07702,1,0.20745,3,0.14429,3,0.08972,1,0.28889,3
2nd_avenue/north_to_south/15_n00064_S.jpg,n00064,S,15,2nd_avenue,north_to_south,0.17855,0,0.50003,0,0.23659,0,0.09853,0,0.24882,0,0.16148,3,0.11874,0,0.35659,0
2nd_avenue/north_to_south/16_n00063_S.jpg,n00063,S,16,2nd_avenue,north_to_south,0.14314,1,0.80909,2,0.47467,2,0.087,3,0.26197,2,0.13139,3,0.11243,3,0.39621,0
2nd_avenue/north_to_south/17_n00062_S.jpg,n00062,S,17,2nd_avenue,north_to_south,0.21469,2,0.5595,0,0.47434,0,0.11073,1,0.27568,0,0.17129,3,0.10827,3,0.35881,3
2nd_avenue/north_to_south/18_n00061_S.jpg,n00061,S,18,2nd_avenue,north_to_south,0.15429,3,0.72493,0,0.34669,0,0.10619,3,0.24306,3,0.15627,3,0.10485,0,0.37157,1
2nd_avenue/north_to_south/19_n00060_S.jpg,n00060,S,19,2nd_avenue,north_to_south,0.18851,1,0.59478,2,0.40302,2,0.13771,1,0.23604,3,0.36767,2,0.13284,2,0.46653,1
2nd_avenue/north_to_south/20_n00059_S.jpg,n00059,S,20,2nd_avenue,north_to_south,0.1767,3,0.27829,2,0.20286,0,0.16682,3,0.17483,1,0.36079,2,0.1765,3,0.43952,2
2nd_avenue/north_to_south/21_n00058_S.jpg,n00058,S,21,2nd_avenue,north_to_south,0.18461,3,0.22007,1,0.25564,2,0.1246,3,0.16993,0,0.50795,0,0.17319,3,0.28624,1
2nd_avenue/north_to_south/22_n00056_S.jpg,n00056,S,22,2nd_avenue,north_to_south,0.2715,3,0.27939,2,0.215,3,0.19807,3,0.17684,3,0.25201,2,0.18003,1,0.41209,2
2nd_avenue/north_to_south/23_n00055_S.jpg,n00055,S,23,2nd_avenue,north_to_south,0.208,3,0.27028,2,0.22303,1,0.11211,3,0.16272,3,0.3572,2,0.14545,0,0.35609,3
2nd_avenue/north_to_south/24_n00054_S.jpg,n00054,S,24,2nd_avenue,north_to_south,0.19395,3,0.36689,3,0.27145,3,0.12666,3,0.15668,0,0.25741,0,0.15844,3,0.41236,0
2nd_avenue/north_to_south/25_n00053_S.jpg,n00053,S,25,2nd_avenue,north_to_south,0.20001,3,0.52242,3,0.31357,2,0.1292,3,0.24198,3,0.41666,0,0.15119,0,0.32048,1
2nd_avenue/north_to_south/26_n00052_S.jpg,n00052,S,26,2nd_avenue,north_to_south,0.19158,3,0.74488,2,0.39067,3,0.09828,3,0.27052,3,0.35559,0,0.16878,3,0.35062,0
2nd_avenue/north_to_south/27_n00051_S.jpg,n00051,S,27,2nd_avenue,north_to_south,0.19154,3,0.44892,3,0.27466,2,0.1391,2,0.22125,3,0.29151,0,0.22099,3,0.38192,2
2nd_avenue/north_to_south/28_n00050_S.jpg,n00050,S,28,2nd_avenue,north_to_south,0.1605,2,0.73152,2,0.42414,2,0.11152,2,0.25949,3,0.36704,2,0.19594,3,0.4421,3
2nd_avenue/north_to_south/29_n00049_S.jpg,n00049,S,29,2nd_avenue,north_to_south,0.19218,3,0.75298,2,0.47722,2,0.19802,3,0.26802,3,0.46791,3,0.30744,3,0.51327,3
2nd_avenue/north_to_south/30_n00048_S.jpg,n00048,S,30,2nd_avenue,north_to_south,0.20573,3,0.67462,2,0.47215,2,0.17202,0,0.24303,3,0.38316,0,0.2505,0,0.40348,3
2nd_avenue/north_to_south/31_n00047_S.jpg,n00047,S,31,2nd_avenue,north_to_south,0.13652,1,0.38362,2,0.23441,1,0.08062,1,0.19483,2,0.14868,3,0.11156,3,0.35312,0
2nd_avenue/north_to_south/32_n00046_S.jpg,n00046,S,32,2nd_avenue,north_to_south,0.16874,3,0.3506,0,0.29039,0,0.08829,3,0.22523,2,0.23598,1,0.18529,3,0.3403,3
2nd_avenue/south_to_north/01_n00046_N.jpg,n00046,N,1,2nd_avenue,south_to_north,0.29023,0,0.23362,2,0.26931,0,0.20623,2,0.18019,3,0.27657,1,0.19112,3,0.46273,2
2nd_avenue/south_to_north/02_n00047_N.jpg,n00047,N,2,2nd_avenue,south_to_north,0.20697,3,0.64643,3,0.39546,3,0.20224,2,0.27897,3,0.34954,3,0.28465,3,0.4612,2
2nd_avenue/south_to_north/03_n00048_N.jpg,n00048,N,3,2nd_avenue,south_to_north,0.16968,3,0.42966,0,0.2617,0,0.17145,3,0.14144,0,0.42071,3,0.25461,3,0.41486,3
2nd_avenue/south_to_north/04_n00049_N.jpg,n00049,N,4,2nd_avenue,south_to_north,0.23216,3,0.72542,1,0.37417,1,0.18103,0,0.22856,1,0.28233,3,0.28844,0,0.37332,1
2nd_avenue/south_to_north/05_n00050_N.jpg,n00050,N,5,2nd_avenue,south_to_north,0.22806,1,0.25009,3,0.25896,0,0.16834,1,0.20013,3,0.25828,3,0.26873,2,0.32314,0
2nd_avenue/south_to_north/06_n00051_N.jpg,n00051,N,6,2nd_avenue,south_to_north,0.23183,3,0.25721,1,0.2068,1,0.15185,3,0.18426,2,0.37443,2,0.21256,3,0.30704,3
2nd_avenue/south_to_north/07_n00052_N.jpg,n00052,N,7,2nd_avenue,south_to_north,0.30451,2,0.61481,0,0.37753,0,0.16148,2,0.22133,0,0.45783,2,0.23291,3,0.40221,2
2nd_avenue/south_to_north/08_n00053_N.jpg,n00053,N,8,2nd_avenue,south_to_north,0.20545,3,0.23408,1,0.20124,3,0.13362,1,0.19053,2,0.39295,2,0.14053,0,0.37348,3
2nd_avenue/south_to_north/09_n00054_N.jpg,n00054,N,9,2nd_avenue,south_to_north,0.18963,3,0.16616,1,0.22189,0,0.14101,3,0.2088,0,0.18985,0,0.12757,3,0.28956,1
2nd_avenue/south_to_north/10_n00055_N.jpg,n00055,N,10,2nd_avenue,south_to_north,0.12995,3,0.27661,0,0.29002,1,0.08245,2,0.15277,0,0.24573,0,0.18862,0,0.29156,3
2nd_avenue/south_to_north/11_n00056_N.jpg,n00056,N,11,2nd_avenue,south_to_north,0.17895,1,0.29486,3,0.37788,1,0.13455,1,0.2408,0,0.3681,3,0.16321,3,0.36814,3
2nd_avenue/south_to_north/12_n00058_N.jpg,n00058,N,12,2nd_avenue,south_to_north,0.1766,1,0.49545,2,0.39974,2,0.11845,1,0.20187,2,0.16369,3,0.11452,3,0.35085,1
2nd_avenue/south_to_north/13_n00059_N.jpg,n00059,N,13,2nd_avenue,south_to_north,0.17861,1,0.38777,2,0.26371,3,0.14359,1,0.20663,3,0.31106,3,0.1426,3,0.45429,3
2nd_avenue/south_to_north/14_n00060_N.jpg,n00060,N,14,2nd_avenue,south_to_north,0.19249,0,0.57038,3,0.29002,0,0.17699,0,0.18701,3,0.14756,0,0.10949,3,0.19505,3
2nd_avenue/south_to_north/15_n00061_N.jpg,n00061,N,15,2nd_avenue,south_to_north,0.16098,3,0.69446,2,0.33766,2,0.08826,3,0.26468,2,0.12776,3,0.12345,0,0.40347,0
2nd_avenue/south_to_north/16_n00062_N.jpg,n00062,N,16,2nd_avenue,south_to_north,0.205,2,0.71662,0,0.35596,3,0.09734,0,0.25832,0,0.15112,3,0.25434,0,0.39035,3
2nd_avenue/south_to_north/17_n00063_N.jpg,n00063,N,17,2nd_avenue,south_to_north,0.24439,0,0.48475,0,0.32205,0,0.1348,0,0.20455,3,0.14126,3,0.08881,0,0.39503,3
2nd_avenue/south_to_north/18_n00064_N.jpg,n00064,N,18,2nd_avenue,south_to_north,0.17382,3,0.64964,2,0.30506,2,0.08567,3,0.20843,3,0.15254,3,0.10616,1,0.20239,3
